copyright	zengfr	site:http://github.com/zengfr/romhack
FF81CD	base+1CD	[012C08, 012D94]	
FF81CE	base+1CE	[012C2E, 012CB2, 012CC4, 012D00, 01A610]	
FF81D0	base+1D0	[012C2E, 012CB2, 012CC4, 012D00, 01A610]	
FF81D2	base+1D2	[012C36, 012CDE, 012D18, 01A610]	
FF81D4	base+1D4	[012C36, 012CDE, 012D18, 01A610]	
FF81D6	base+1D6	[012A62, 01A610]	
FF81D8	base+1D8	[012A6A, 01A610]	
FF81DA	base+1DA	[012A6A, 01A610]	
FF81DC	base+1DC	[012A70, 012AE2, 01A610]	
FF81DD	base+1DD	[012EE8, 012F14, 01AD58]	
FF81DE	base+1DE	[0127BC, 012F0A, 012F32, 012F5C, 012F68, 012FB6, 017912, 017CA0, 01A610, 01AD44, 01AD4A, 01AD52]	
FF81DF	base+1DF	[012F10, 012F50, 012F58]	
FF81E0	base+1E0	[01A610]	
FF81E2	base+1E2	[003C6E, 00408E, 0048B6, 0050EE, 01183C, 01A610]	
FF81E4	base+1E4	[01A610, 025382, 025404, 02674E, 0267D0, 029176, 0291F8, 02A538, 02A5BA, 02B764, 02B7E6, 0328CC, 03294E, 036700, 036782, 046842, 0468C4]	
FF81E6	base+1E6	[01A610, 025382, 025404, 02674E, 0267D0, 029176, 0291F8, 02A538, 02A5BA, 02B764, 02B7E6, 0328CC, 03294E, 036700, 036782, 046842, 0468C4]	
FF81E8	base+1E8	[01A610]	
FF81EA	base+1EA	[01A610]	
FF81EC	base+1EC	[01A610]	
FF81EE	base+1EE	[01A610]	
FF81F0	base+1F0	[01A610]	
FF81F2	base+1F2	[01A610]	
FF81F4	base+1F4	[011838, 017D5E, 017D66, 017D6E, 017D76, 01A610]	
FF81F6	base+1F6	[01A610]	
FF81F8	base+1F8	[012A74, 012B0E, 01A610]	
FF81F9	base+1F9	[001706, 00170A]	
FF81FA	base+1FA	[0117FE, 01182C, 017ADA, 017D88, 01A610, 01BAEA]	
FF81FC	base+1FC	[012A8A, 015514, 01A610, 01AD38]	
FF81FE	base+1FE	[000EA0, 0029C8, 0113EE, 012AF4, 013D14, 013E0A, 01A610]	
FF81FF	base+1FF	[01BABC]	
FF8200	base+200	[012A78, 012F04, 01A610, 01AD3E]	
FF8201	base+201	[001688, 0016B8, 008056, 009598, 009B0E, 00B2EC, 011728, 012336, 0127C8, 0178BA, 017ACA, 017B58, 017BC8, 017C40, 017E36, 017E64, 01AAFA, 01AB8E, 01ABFE, 0556E2]	
FF8202	base+202	[01A610]	
FF8203	base+203	[012A82, 012AFA, 012EE2]	
FF8204	base+204	[01A610]	
FF8206	base+206	[00987E, 0127D0, 0176DE, 0178C2, 01A610, 01AC0E, 0556DE]	
FF8208	base+208	[00AFBC, 0127D8, 0127DE, 01A610]	
FF820A	base+20A	[01A610]	
FF820B	base+20B	[0113AE]	
FF820C	base+20C	[01A610]	
FF820E	base+20E	[01A610]	
FF820F	base+20F	[01BA7C]	
FF8210	base+210	[01A610]	
FF8212	base+212	[01A610, 0556EA, 0556F8, 0557CC]	
FF8214	base+214	[01A610]	
FF8216	base+216	[01A610]	
FF8218	base+218	[01A610]	
FF821A	base+21A	[01A610]	
FF821C	base+21C	[01A610]	
FF821E	base+21E	[01A610]	
FF8220	base+220	[01A610]	
FF8222	base+222	[01A610]	
FF8224	base+224	[01A610]	
FF8226	base+226	[01A610]	
FF8228	base+228	[01A610]	
FF822A	base+22A	[01A610]	
FF822C	base+22C	[01A610]	
FF822E	base+22E	[01A610]	
FF8230	base+230	[01A610]	
FF8232	base+232	[01A610]	
FF8234	base+234	[01A610]	
FF8236	base+236	[01A610]	
FF8238	base+238	[01A610]	
FF823A	base+23A	[01A610]	
FF823C	base+23C	[01A610]	
FF823E	base+23E	[01A610]	
FF8240	base+240	[01A610]	
FF8242	base+242	[01A610]	
FF8244	base+244	[01A610]	
FF8246	base+246	[01A610]	
FF8248	base+248	[01A610]	
FF824A	base+24A	[01A610]	
FF824C	base+24C	[01A610]	
FF824E	base+24E	[01A610]	
FF8250	base+250	[01A610]	
FF8252	base+252	[01A610]	
FF8254	base+254	[01A610]	
FF8256	base+256	[01A610]	
FF8258	base+258	[01A610]	
FF825A	base+25A	[01A610]	
FF825C	base+25C	[01A610]	
FF825E	base+25E	[01A610]	
FF8260	base+260	[01A610]	
FF8262	base+262	[01A610]	
FF8264	base+264	[01A610]	
FF8266	base+266	[01A610]	
FF8268	base+268	[01A610]	
FF826A	base+26A	[01A610]	
FF826C	base+26C	[01A610]	
FF826E	base+26E	[01A610]	
FF8270	base+270	[01A610]	
FF8272	base+272	[01A610]	
FF8274	base+274	[01A610]	
FF8276	base+276	[01A610]	
FF8278	base+278	[01A610]	
FF827A	base+27A	[01A610]	
FF827C	base+27C	[01A610]	
FF827E	base+27E	[01A610]	
FF8280	base+280	[01A610]	
FF8282	base+282	[01A610]	
FF8284	base+284	[01A610]	
FF8286	base+286	[01A610]	
FF8288	base+288	[002A7C, 002AF4, 002B12, 002BCA, 002C56, 002C96, 002D86, 002DB2, 002E22, 002E64, 01A598, 01A74C]	
