copyright	zengfr	site:http://github.com/zengfr/romhack
00996E	00996E	[211000, 211002, 211004, 211006, 211008, 21100A, 21100C, 21100E, 211010, 211012, 211014, 211016, 211018, 21101A, 21101C, 21101E, 211020, 211022, 211024, 211026, 211028, 21102A, 21102C, 21102E, 211030, 211032, 211034, 211036, 211038, 21103A, 21103C, 21103E, 211040, 211042, 211044, 211046, 211048, 21104A, 21104C, 21104E, 211050, 211052, 211054, 211056, 211058, 21105A, 21105C, 21105E, 211060, 211062, 211064, 211066, 211068, 21106A, 21106C, 21106E, 211070, 211072, 211074, 211076, 211078, 21107A, 21107C, 21107E, 211080, 211082, 211084, 211086, 211088, 21108A, 21108C, 21108E, 211090, 211092, 211094, 211096, 211098, 21109A, 21109C, 21109E, 2110A0, 2110A2, 2110A4, 2110A6, 2110A8, 2110AA, 2110AC, 2110AE, 2110B0, 2110B2, 2110B4, 2110B6, 2110B8, 2110BA, 2110BC, 2110BE, 2110C0, 2110C2, 2110C4, 2110C6, 2110C8, 2110CA, 2110CC, 2110CE, 2110D0, 2110D2, 2110D4, 2110D6, 2110D8, 2110DA, 2110DC, 2110DE, 2110E0, 2110E2, 2110E4, 2110E6, 2110E8, 2110EA, 2110EC, 2110EE, 2110F0, 2110F2, 2110F4, 2110F6, 2110F8, 2110FA, 2110FC, 2110FE, 211100, 211102, 211104, 211106, 211108, 21110A, 21110C, 21110E, 211110, 211112, 211114, 211116, 211118, 21111A, 21111C, 21111E, 211120, 211122, 211124, 211126, 211128, 21112A, 21112C, 21112E, 211130, 211132, 211134, 211136, 211138, 21113A, 21113C, 21113E, 211140, 211142, 211144, 211146, 211148, 21114A, 21114C, 21114E, 211150, 211152, 211154, 211156, 211158, 21115A, 21115C, 21115E, 211160, 211162, 211164, 211166, 211168, 21116A, 21116C, 21116E, 211170, 211172, 211174, 211176, 211178, 21117A, 21117C, 21117E, 211180, 211182, 211184, 211186, 211188, 21118A, 21118C, 21118E, 211190, 211192, 211194, 211196, 211198, 21119A, 21119C, 21119E, 2111A0, 2111A2, 2111A4, 2111A6, 2111A8, 2111AA, 2111AC, 2111AE, 2111B0, 2111B2, 2111B4, 2111B6, 2111B8, 2111BA, 2111BC, 2111BE, 2111C0, 2111C2, 2111C4, 2111C6, 2111C8, 2111CA, 2111CC, 2111CE, 2111D0, 2111D2, 2111D4, 2111D6, 2111D8, 2111DA, 2111DC, 2111DE, 2111E0, 2111E2, 2111E4, 2111E6, 2111E8, 2111EA, 2111EC, 2111EE, 2111F0, 2111F2, 2111F4, 2111F6, 2111F8, 2111FA, 2111FC, 2111FE, 211200, 211202, 211204, 211206, 211208, 21120A, 21120C, 21120E, 211210, 211212, 211214, 211216, 211218, 21121A, 21121C, 21121E, 211220, 211222, 211224, 211226, 211228, 21122A, 21122C, 21122E, 211230, 211232, 211234, 211236, 211238, 21123A, 21123C, 21123E, 211240, 211242, 211244, 211246, 211248, 21124A, 21124C, 21124E, 211250, 211252, 211254, 211256, 211258, 21125A, 21125C, 21125E, 211260, 211262, 211264, 211266, 211268, 21126A, 21126C, 21126E, 211270, 211272, 211274, 211276, 211278, 21127A, 21127C, 21127E, 211280, 211282, 211284, 211286, 211288, 21128A, 21128C, 21128E, 211290, 211292, 211294, 211296, 211298, 21129A, 21129C, 21129E, 2112A0, 2112A2, 2112A4, 2112A6, 2112A8, 2112AA, 2112AC, 2112AE, 2112B0, 2112B2, 2112B4, 2112B6, 2112B8, 2112BA, 2112BC, 2112BE, 2112C0, 2112C2, 2112C4, 2112C6, 2112C8, 2112CA, 2112CC, 2112CE, 2112D0, 2112D2, 2112D4, 2112D6, 2112D8, 2112DA, 2112DC, 2112DE, 2112E0, 2112E2, 2112E4, 2112E6, 2112E8, 2112EA, 2112EC, 2112EE, 2112F0, 2112F2, 2112F4, 2112F6, 2112F8, 2112FA, 2112FC, 2112FE, 211900, 211902, 211904, 211906, 211908, 21190A, 21190C, 21190E, 211910, 211912, 211914, 211916, 211918, 21191A, 21191C, 21191E, 211920, 211922, 211924, 211926, 211928, 21192A, 21192C, 21192E, 211930, 211932, 211934, 211936, 211938, 21193A, 21193C, 21193E, 211940, 211942, 211944, 211946, 211948, 21194A, 21194C, 21194E, 211950, 211952, 211954, 211956, 211958, 21195A, 21195C, 21195E, 211960, 211962, 211964, 211966, 211968, 21196A, 21196C, 21196E, 211970, 211972, 211974, 211976, 211978, 21197A, 21197C, 21197E, 211980, 211982, 211984, 211986, 211988, 21198A, 21198C, 21198E, 211990, 211992, 211994, 211996, 211998, 21199A, 21199C, 21199E, 2119A0, 2119A2, 2119A4, 2119A6, 2119A8, 2119AA, 2119AC, 2119AE, 2119B0, 2119B2, 2119B4, 2119B6, 2119B8, 2119BA, 2119BC, 2119BE, 2119C0, 2119C2, 2119C4, 2119C6, 2119C8, 2119CA, 2119CC, 2119CE, 2119D0, 2119D2, 2119D4, 2119D6, 2119D8, 2119DA, 2119DC, 2119DE, 2119E0, 2119E2, 2119E4, 2119E6, 2119E8, 2119EA, 2119EC, 2119EE, 2119F0, 2119F2, 2119F4, 2119F6, 2119F8, 2119FA, 2119FC, 2119FE, 211A00, 211A02, 211A04, 211A06, 211A08, 211A0A, 211A0C, 211A0E, 211A10, 211A12, 211A14, 211A16, 211A18, 211A1A, 211A1C, 211A1E, 211A20, 211A22, 211A24, 211A26, 211A28, 211A2A, 211A2C, 211A2E, 211A30, 211A32, 211A34, 211A36, 211A38, 211A3A, 211A3C, 211A3E, 211A40, 211A42, 211A44, 211A46, 211A48, 211A4A, 211A4C, 211A4E, 211A50, 211A52, 211A54, 211A56, 211A58, 211A5A, 211A5C, 211A5E, 211A60, 211A62, 211A64, 211A66, 211A68, 211A6A, 211A6C, 211A6E, 211A70, 211A72, 211A74, 211A76, 211A78, 211A7A, 211A7C, 211A7E, 211A80, 211A82, 211A84, 211A86, 211A88, 211A8A, 211A8C, 211A8E, 211A90, 211A92, 211A94, 211A96, 211A98, 211A9A, 211A9C, 211A9E, 211AA0, 211AA2, 211AA4, 211AA6, 211AA8, 211AAA, 211AAC, 211AAE, 211AB0, 211AB2, 211AB4, 211AB6, 211AB8, 211ABA, 211ABC, 211ABE, 211AC0, 211AC2, 211AC4, 211AC6, 211AC8, 211ACA, 211ACC, 211ACE, 211AD0, 211AD2, 211AD4, 211AD6, 211AD8, 211ADA, 211ADC, 211ADE, 211AE0, 211AE2, 211AE4, 211AE6, 211AE8, 211AEA, 211AEC, 211AEE, 211AF0, 211AF2, 211AF4, 211AF6, 211AF8, 211AFA, 211AFC, 211AFE, 211B00, 211B02, 211B04, 211B06, 211B08, 211B0A, 211B0C, 211B0E, 211B10, 211B12, 211B14, 211B16, 211B18, 211B1A, 211B1C, 211B1E, 211B20, 211B22, 211B24, 211B26, 211B28, 211B2A, 211B2C, 211B2E, 211B30, 211B32, 211B34, 211B36, 211B38, 211B3A, 211B3C, 211B3E, 211B40, 211B42, 211B44, 211B46, 211B48, 211B4A, 211B4C, 211B4E, 211B50, 211B52, 211B54, 211B56, 211B58, 211B5A, 211B5C, 211B5E, 211B60, 211B62, 211B64, 211B66, 211B68, 211B6A, 211B6C, 211B6E, 211B70, 211B72, 211B74, 211B76, 211B78, 211B7A, 211B7C, 211B7E, 211B80, 211B82, 211B84, 211B86, 211B88, 211B8A, 211B8C, 211B8E, 211B90, 211B92, 211B94, 211B96, 211B98, 211B9A, 211B9C, 211B9E, 211BA0, 211BA2, 211BA4, 211BA6, 211BA8, 211BAA, 211BAC, 211BAE, 211BB0, 211BB2, 211BB4, 211BB6, 211BB8, 211BBA, 211BBC, 211BBE, 211BC0, 211BC2, 211BC4, 211BC6, 211BC8, 211BCA, 211BCC, 211BCE, 211BD0, 211BD2, 211BD4, 211BD6, 211BD8, 211BDA, 211BDC, 211BDE, 211BE0, 211BE2, 211BE4, 211BE6, 211BE8, 211BEA, 211BEC, 211BEE, 211BF0, 211BF2, 211BF4, 211BF6, 211BF8, 211BFA, 211BFC, 211BFE, 211C00, 211C02, 211C04, 211C06, 211C08, 211C0A, 211C0C, 211C0E, 211C10, 211C12, 211C14, 211C16, 211C18, 211C1A, 211C1C, 211C1E, 211C20, 211C22, 211C24, 211C26, 211C28, 211C2A, 211C2C, 211C2E, 211C30, 211C32, 211C34, 211C36, 211C38, 211C3A, 211C3C, 211C3E, 211C40, 211C42, 211C44, 211C46, 211C48, 211C4A, 211C4C, 211C4E, 211C50, 211C52, 211C54, 211C56, 211C58, 211C5A, 211C5C, 211C5E, 211C60, 211C62, 211C64, 211C66, 211C68, 211C6A, 211C6C, 211C6E, 211C70, 211C72, 211C74, 211C76, 211C78, 211C7A, 211C7C, 211C7E, 211C80, 211C82, 211C84, 211C86, 211C88, 211C8A, 211C8C, 211C8E, 211C90, 211C92, 211C94, 211C96, 211C98, 211C9A, 211C9C, 211C9E, 211CA0, 211CA2, 211CA4, 211CA6, 211CA8, 211CAA, 211CAC, 211CAE, 211CB0, 211CB2, 211CB4, 211CB6, 211CB8, 211CBA, 211CBC, 211CBE, 211CC0, 211CC2, 211CC4, 211CC6, 211CC8, 211CCA, 211CCC, 211CCE, 211CD0, 211CD2, 211CD4, 211CD6, 211CD8, 211CDA, 211CDC, 211CDE, 211CE0, 211CE2, 211CE4, 211CE6, 211CE8, 211CEA, 211CEC, 211CEE, 211CF0, 211CF2, 211CF4, 211CF6, 211CF8, 211CFA, 211CFC, 211CFE, 211D00, 211D02, 211D04, 211D06, 211D08, 211D0A, 211D0C, 211D0E, 211D10, 211D12, 211D14, 211D16, 211D18, 211D1A, 211D1C, 211D1E, 211D20, 211D22, 211D24, 211D26, 211D28, 211D2A, 211D2C, 211D2E, 211D30, 211D32, 211D34, 211D36, 211D38, 211D3A, 211D3C, 211D3E, 211D40, 211D42, 211D44, 211D46, 211D48, 211D4A, 211D4C, 211D4E, 211D50, 211D52, 211D54, 211D56, 211D58, 211D5A, 211D5C, 211D5E, 211D60, 211D62, 211D64, 211D66, 211D68, 211D6A, 211D6C, 211D6E, 211D70, 211D72, 211D74, 211D76, 211D78, 211D7A, 211D7C, 211D7E, 211D80, 211D82, 211D84, 211D86, 211D88, 211D8A, 211D8C, 211D8E, 211D90, 211D92, 211D94, 211D96, 211D98, 211D9A, 211D9C, 211D9E, 211DA0, 211DA2, 211DA4, 211DA6, 211DA8, 211DAA, 211DAC, 211DAE, 211DB0, 211DB2, 211DB4, 211DB6, 211DB8, 211DBA, 211DBC, 211DBE, 211DC0, 211DC2, 211DC4, 211DC6, 211DC8, 211DCA, 211DCC, 211DCE, 211DD0, 211DD2, 211DD4, 211DD6, 211DD8, 211DDA, 211DDC, 211DDE, 211DE0, 211DE2, 211DE4, 211DE6, 211DE8, 211DEA, 211DEC, 211DEE, 211DF0, 211DF2, 211DF4, 211DF6, 211DF8, 211DFA, 211DFC, 211DFE, 211E00, 211E02, 211E04, 211E06, 211E08, 211E0A, 211E0C, 211E0E, 211E10, 211E12, 211E14, 211E16, 211E18, 211E1A, 211E1C, 211E1E, 211E20, 211E22, 211E24, 211E26, 211E28, 211E2A, 211E2C, 211E2E, 211E30, 211E32, 211E34, 211E36, 211E38, 211E3A, 211E3C, 211E3E, 211E40, 211E42, 211E44, 211E46, 211E48, 211E4A, 211E4C, 211E4E, 211E50, 211E52, 211E54, 211E56, 211E58, 211E5A, 211E5C, 211E5E, 211E60, 211E62, 211E64, 211E66, 211E68, 211E6A, 211E6C, 211E6E, 211E70, 211E72, 211E74, 211E76, 211E78, 211E7A, 211E7C, 211E7E, 211E80, 211E82, 211E84, 211E86, 211E88, 211E8A, 211E8C, 211E8E, 211E90, 211E92, 211E94, 211E96, 211E98, 211E9A, 211E9C, 211E9E, 211EA0, 211EA2, 211EA4, 211EA6, 211EA8, 211EAA, 211EAC, 211EAE, 211EB0, 211EB2, 211EB4, 211EB6, 211EB8, 211EBA, 211EBC, 211EBE, 211EC0, 211EC2, 211EC4, 211EC6, 211EC8, 211ECA, 211ECC, 211ECE, 211ED0, 211ED2, 211ED4, 211ED6, 211ED8, 211EDA, 211EDC, 211EDE, 211EE0, 211EE2, 211EE4, 211EE6, 211EE8, 211EEA, 211EEC, 211EEE, 211EF0, 211EF2, 211EF4, 211EF6, 211EF8, 211EFA, 211EFC, 211EFE, 211F00, 211F02, 211F04, 211F06, 211F08, 211F0A, 211F0C, 211F0E, 211F10, 211F12, 211F14, 211F16, 211F18, 211F1A, 211F1C, 211F1E, 211F20, 211F22, 211F24, 211F26, 211F28, 211F2A, 211F2C, 211F2E, 211F30, 211F32, 211F34, 211F36, 211F38, 211F3A, 211F3C, 211F3E, 211F40, 211F42, 211F44, 211F46, 211F48, 211F4A, 211F4C, 211F4E, 211F50, 211F52, 211F54, 211F56, 211F58, 211F5A, 211F5C, 211F5E, 211F60, 211F62, 211F64, 211F66, 211F68, 211F6A, 211F6C, 211F6E, 211F70, 211F72, 211F74, 211F76, 211F78, 211F7A, 211F7C, 211F7E, 211F80, 211F82, 211F84, 211F86, 211F88, 211F8A, 211F8C, 211F8E, 211F90, 211F92, 211F94, 211F96, 211F98, 211F9A, 211F9C, 211F9E, 211FA0, 211FA2, 211FA4, 211FA6, 211FA8, 211FAA, 211FAC, 211FAE, 211FB0, 211FB2, 211FB4, 211FB6, 211FB8, 211FBA, 211FBC, 211FBE, 211FC0, 211FC2, 211FC4, 211FC6, 211FC8, 211FCA, 211FCC, 211FCE, 211FD0, 211FD2, 211FD4, 211FD6, 211FD8, 211FDA, 211FDC, 211FDE, 211FE0, 211FE2, 211FE4, 211FE6, 211FE8, 211FEA, 211FEC, 211FEE, 211FF0, 211FF2, 211FF4, 211FF6, 211FF8, 211FFA, 211FFC, 211FFE, 212000, 212002, 212004, 212006, 212008, 21200A, 21200C, 21200E, 212010, 212012, 212014, 212016, 212018, 21201A, 21201C, 21201E, 212020, 212022, 212024, 212026, 212028, 21202A, 21202C, 21202E, 212030, 212032, 212034, 212036, 212038, 21203A, 21203C, 21203E, 212040, 212042, 212044, 212046, 212048, 21204A, 21204C, 21204E, 212050, 212052, 212054, 212056, 212058, 21205A, 21205C, 21205E, 212060, 212062, 212064, 212066, 212068, 21206A, 21206C, 21206E, 212070, 212072, 212074, 212076, 212078, 21207A, 21207C, 21207E, 212080, 212082, 212084, 212086, 212088, 21208A, 21208C, 21208E, 212090, 212092, 212094, 212096, 212098, 21209A, 21209C, 21209E, 2120A0, 2120A2, 2120A4, 2120A6, 2120A8, 2120AA, 2120AC, 2120AE, 2120B0, 2120B2, 2120B4, 2120B6, 2120B8, 2120BA, 2120BC, 2120BE, 2120C0, 2120C2, 2120C4, 2120C6, 2120C8, 2120CA, 2120CC, 2120CE, 2120D0, 2120D2, 2120D4, 2120D6, 2120D8, 2120DA, 2120DC, 2120DE, 2120E0, 2120E2, 2120E4, 2120E6, 2120E8, 2120EA, 2120EC, 2120EE, 2120F0, 2120F2, 2120F4, 2120F6, 2120F8, 2120FA, 2120FC, 2120FE]	
00AD8C	00AD8C	[211020, 211022, 211120, 211122, 211220, 211222, 211920, 211922, 211A20, 211A22, 211B20, 211B22, 211C20, 211C22, 211D20, 211D22, 211E20, 211E22, 211F20, 211F22, 212020, 212022]	
00AD92	00AD92	[211020, 211022, 211120, 211122, 211220, 211222, 211920, 211922, 211A20, 211A22, 211B20, 211B22, 211C20, 211C22, 211D20, 211D22, 211E20, 211E22, 211F20, 211F22, 212020, 212022]	
00AD96	00AD96	[21107E, 21117E, 21127E, 21197E, 211A7E, 211B7E, 211C7E, 211D7E, 211E7E, 211F7E, 21207E]	
00AD9E	00AD9E	[211001, 211101, 211201, 211901, 211A01, 211B01, 211C01, 211D01, 211E01, 211F01, 212001]	
00ADA6	00ADA6	[21102C, 21102E, 21112C, 21112E, 21122C, 21122E, 21192C, 21192E, 211A2C, 211A2E, 211B2C, 211B2E, 211C2C, 211C2E, 211D2C, 211D2E, 211E2C, 211E2E, 211F2C, 211F2E, 21202C, 21202E]	
00ADAA	00ADAA	[211020, 211022, 211120, 211122, 211220, 211222, 211920, 211922, 211A20, 211A22, 211B20, 211B22, 211C20, 211C22, 211D20, 211D22, 211E20, 211E22, 211F20, 211F22, 212020, 212022]	
00ADAE	00ADAE	[211030, 211032, 211130, 211132, 211230, 211232, 211930, 211932, 211A30, 211A32, 211B30, 211B32, 211C30, 211C32, 211D30, 211D32, 211E30, 211E32, 211F30, 211F32, 212030, 212032]	
00ADB2	00ADB2	[211024, 211026, 211124, 211126, 211224, 211226, 211924, 211926, 211A24, 211A26, 211B24, 211B26, 211C24, 211C26, 211D24, 211D26, 211E24, 211E26, 211F24, 211F26, 212024, 212026]	
00ADB6	00ADB6	[211034, 211036, 211134, 211136, 211234, 211236, 211934, 211936, 211A34, 211A36, 211B34, 211B36, 211C34, 211C36, 211D34, 211D36, 211E34, 211E36, 211F34, 211F36, 212034, 212036]	
