copyright	zengfr	site:http://github.com/zengfr/romhack
211017	123p+17	[00B4B0, 00B4E4, 00FB2E, 00FF3C, 00FF56, 00FF66, 00FFA2, 01AA3A, 01AA5E, 01AA8A, 01AD48, 01AEB6, 01B0AC, 01B0E6, 01B130, 01B262, 01B69A, 01B8C4, 01BB5E, 01BB68, 01BC1C, 01BC26, 01BC40, 01BC4A, 01BDEC, 01BF2A, 01C302, 01C34C, 01C4EA, 01C664, 01C6C6, 01C6F4, 01C79A, 01C7EC, 01C92E, 01CB2A, 01CE54, 01CEA6, 01CEAE, 01CEBE, 01CEF0, 01CF20, 01CFA2, 01D06C, 01D084, 01D140, 01D1A8, 01D21C, 01D244, 01D360, 01D4EE, 01D4FE, 01D570, 01D57E, 01D594, 01D780, 01D79C, 01D8F6, 01D90E, 01D92C, 01D936, 01D94E, 01D968, 01DEBE, 01E53C, 01E80A, 01ED96, 01EDD4, 01F1BA, 020506, 020768, 020990, 0209A8, 021996, 021E96, 022112, 022760, 022772, 0227A2, 02280E, 022888, 022898, 022984, 0236F0, 0259C8, 0259E6, 025A42, 025E3E, 025F38, 025F42, 026D72, 026E5C, 02B9B0, 02CE98, 030B52, 03220A, 045CE0]	
211018	123p+18	[00996E, 00B37E]	
211019	123p+19	[00B394]	
21101A	123p+1A	[00996E, 00ADF2, 00B2D6, 00B364, 00B5F0, 00FB34, 01915E, 019380, 019622, 019D5A, 019E66, 019F50, 01A060, 01AA94, 01AC8E, 01AD72, 01ADA4, 01AF90, 01AF9A, 01B044, 01B4E8, 01B79C, 01B896, 01BE3E, 01C034, 01C438, 01C69E, 01C6B0, 01C7A4, 01D180, 01D37C, 01D674, 01D8C0, 01DA0E, 01DDD2, 01DDDE, 01DE92, 01DEA6, 01E51E, 01E5A6, 01E704, 01E708, 01E844, 01ED16, 01ED32, 01FFC6, 01FFFE, 021974, 021C94, 021D3E, 022798, 022D9E, 0236CA, 025E5C, 025FBE, 0262B4, 026386, 026D8C, 0275BE, 02B9DE, 02C124, 02C382, 02FDA4, 030B10, 030B20, 031C58, 040028, 040BA4, 041CC6, 05FEDA, 060008]	
21101B	123p+1B	[018FFE, 01AF92, 01C6B4, 01D382, 01E846, 01E84A, 025F18, 026E3C, 02B750, 02B876, 02BB7A, 02C004, 02C4F8, 04087E, 0461DA, 0463A0, 05C344, 060148]	
21101C	123p+1C	[00996E, 00B278, 00B4C4, 00B530, 00B56E, 00B584, 00B63E, 02C9D8]	
21101E	123p+1E	[00996E, 00B278, 00B4C4, 00B530, 00B56E, 00B584, 00B63E, 02C9D8]	
211020	123p+20	[00833A, 00996E, 00AD8C, 00AD92, 00ADAA, 00ADCE, 00AE86, 00B5F6, 00FB38, 01926C, 019282, 01928E, 019320, 019414, 019486, 019492, 01949C, 01954E, 019558, 0196B6, 019726, 019DE2, 01A3DE, 01A3E4, 01DDC2, 01DDC6, 01E4B4, 01E6EE, 01E6F2, 01F84E, 01F91C, 01FD98, 01FD9C, 01FDA2, 02046E, 0219D8, 021E3C, 022206, 02222C, 02225E, 0222DC, 0222FA, 0228C6, 022D8E, 023090, 0236FC, 023742, 025C36, 026396, 026B66, 0275BA, 028A28, 02B9E6, 02BABC, 02C392, 02D01A, 02DC2E, 02FDF6, 0310D8, 032006, 0322AA, 0322D8, 032536, 03D914, 03D92A, 03D93E, 03D954, 03D968, 03D97E, 03D9F2, 03DBEE, 03DC6E, 040A60, 040ACE, 040B18, 044018, 04435C, 05C17E, 05C244, 05C25A, 05D7F4, 05F01A, 05F078, 05F280, 05FFC6, 05FFDC, 0610EE, 0618D6, 0662A8, 066452, 0664F2]	
211021	123p+21	[01F5D6]	
211022	123p+22	[00833A, 00996E, 00AD8C, 00AD92, 00ADAA, 00B5F6, 01926C, 019282, 01928E, 019320, 019414, 019492, 01954E, 0196B6, 019DE2, 01A3DE, 01F84E, 01F91C, 022206, 02222C, 0222DC, 0222FE, 022D8E, 025C36, 02639E, 02B9EC, 02BE8A, 03D9F2, 040ACE]	
211024	123p+24	[00996E, 00ADB2, 00ADD2, 00B2EA, 00FB3C, 01A14C, 01A176, 01A1D8, 01A20A, 01A258, 01A27A, 01A2E6, 01C2AA, 01D046, 01DCEC, 01DD44, 01DD48, 01E49A, 01E4A4, 01E74E, 01E752, 01E792, 01E796, 01E7EA, 01E7EE, 01F026, 01FDAE, 0201F4, 02026C, 020460, 0219DC, 02284A, 022978, 022D90, 023702, 025C3C, 0263A6, 026B8A, 0275A0, 02B9F6, 02C39C, 02D03E, 02FDFC, 0310E2, 0322B2, 040AA2, 04402A, 05DB1E, 0600BA, 0601D4, 060270, 066504]	
211025	123p+25	[0193EC, 01968E, 0198E2, 019CAE, 019DB6, 019EC2, 019FAC, 01A0BC]	
211026	123p+26	[00996E, 00ADB2, 01A1D8, 01C2AA, 01F026, 02284A, 022978, 022D90, 025C3C, 0263AE, 02B9FC, 02BE90]	
211028	123p+28	[00833E, 00996E, 00ADBA, 00ADD6, 00AF20, 00AF58, 00B2E6, 00B602, 019272, 019298, 0192A4, 019332, 01990A, 01997E, 019988, 019A0C, 019A16, 019A20, 019C2A, 019C34, 019CD6, 019CF4, 019DEA, 01DDF6, 01DDFA, 01E6F6, 01E6FA, 01F96E, 01FDB6, 0204F6, 0219E0, 022288, 0222C2, 02232A, 02233C, 022386, 022D92, 02317C, 023708, 025C48, 025E50, 0263B4, 026B78, 026D82, 0275D4, 02B5DE, 02BA02, 02BAC0, 02BE80, 02D02C, 02FE02, 0310EC, 032014, 0322BA, 032526, 03D91C, 03D932, 03D946, 03D95C, 03D970, 03D982, 03D9FE, 03DBF6, 03DC86, 040A6E, 040AB6, 040B2A, 040F5E, 041110, 04183C, 041AD4, 041BE0, 041D46, 041EA6, 041F32, 041F72, 04257A, 042F50, 05C228, 05FFAA, 06022E, 0610DC, 0662B6, 066456]	
21102A	123p+2A	[00833E, 00996E, 00ADBA, 00B602, 019272, 019298, 0192A4, 019332, 01990A, 01997E, 019A16, 019C2A, 019CD6, 019DEA, 01F96E, 022288, 0222C2, 02232A, 022340, 022386, 022D92, 025C48, 025E50, 0263B4, 026D82, 02B5DE, 02BA02, 02BE80, 02BE96, 03D9FE, 040AB6]	
21102C	123p+2C	[008332, 00996E, 00ADA6, 019294, 01A32C, 01A3A0, 01A64A, 01C7C6, 01D0D8, 01D1C4, 01DA88, 01F862, 01F958, 01F990, 01F996, 01F99E, 01F9A4, 01F9AA, 0200CA, 020118, 0209D4, 021C16, 021C52, 021E56, 021FD6, 02220A, 02221A, 022236, 0222B0, 0222D0, 0222F0, 02234A, 022968, 022D94, 02591C, 025C4E, 025E62, 025F24, 026D92, 026E48, 02B672, 02BE9C, 040AD2]	
21102E	123p+2E	[008332, 00996E, 00ADA6, 019294, 01A32C, 01A3A0, 01A64A, 01C7C6, 01D0D8, 01D1C4, 01DA88, 01F862, 01F958, 01F990, 01F996, 01F99E, 01F9A4, 0200CA, 020118, 021C16, 021C52, 021E56, 021FD6, 02220A, 02221A, 0222B0, 0222D0, 0222F0, 02234A, 022968, 022D94, 02591C, 025C4E, 025E62, 025F24, 026D92, 026E48, 02B672, 02BE9C, 040AD2]	
211030	123p+30	[00996E, 00ADAE, 01A1DC, 01A2AC, 01A3EE, 01A572, 01C2AE, 01C388, 01C4D0, 01D1D0, 01D268, 01D272, 01D3F4, 01D3FE, 01D522, 01D546, 01EE0C, 01F02A, 0200CE, 021940, 021FDA, 02221E, 0222B4, 0227F4, 022842, 022846, 02296C, 025C54, 025E68, 025F2A, 026D98, 026E4E, 02B678, 02B860, 02B916, 02BEA2]	
211032	123p+32	[00996E, 00ADAE, 01A1DC, 01A3EE, 01A572, 01C2AE, 01D1D0, 01D268, 01D272, 01D3F4, 01D3FE, 01D522, 01D546, 01EE0C, 01F02A, 0200CE, 021FDA, 02221E, 0222B4, 0227F4, 022842, 022846, 02296C, 022D96, 025C54, 025E68, 025F2A, 026D98, 026E4E, 02B678, 02B860, 02B916, 02BEA2]	
211034	123p+34	[008336, 00996E, 00ADB6, 0192AA, 01A64E, 01F972, 02011C, 021E72, 022222, 0222B8, 022308, 022316, 02231A, 022338, 02235E, 022970, 022D98, 025922, 025C5A, 025E6E, 025F30, 026D9E, 026E54, 02B67E, 02BEA8, 040ABA]	
211036	123p+36	[008336, 00996E, 00ADB6, 0192AA, 01A64E, 01F972, 02011C, 021C58, 021E72, 022222, 02228C, 0222B8, 022308, 022316, 02231A, 022338, 02235E, 022970, 022D98, 025922, 025C5A, 025E6E, 025F30, 026D9E, 026E54, 02B67E, 02BEA8, 040ABA]	
211038	123p+38	[00996E, 00B5C8, 00B5FC, 01A148, 01A172, 01A1D4, 01A240, 01A2A8, 01C2BE, 01D04A, 01F022, 023786, 03E5FA, 043BCA, 0462AA]	
21103A	123p+3A	[00996E, 00B5FC, 01F022]	
21103C	123p+3C	[00996E, 01A7F0, 01A88C, 01AA6A, 01AD9A, 01AF8C, 01B07E, 01B09A, 01B0D4, 01B11E, 01B27A, 01B31E, 01B382, 01B420, 01B4CC, 01B604, 01B62E, 01B68E, 01B738, 01BA3E, 01BCE4, 01BCF0, 01BD00, 01BE58, 01BF1E, 01C042, 01C330, 01C716, 01C7FE, 01CA76, 01CE48, 01CF0E, 01D060, 01D096, 01D158, 01D2EA, 01D5B8, 01D7CE, 01D8B0, 01DBAE, 01DD30, 01DE76, 01E344, 01E4E0, 01E5E0, 01E610, 01E732, 01E7C2, 01F306, 01FDFE, 01FE06, 02199C, 022B5C, 0236DE, 02B5F6, 02B88C, 02B96E, 02C980, 03E5D6, 03FF2A, 040300, 04037A, 040702, 0407A0, 04089E, 040978, 043BA4, 043C12, 043C3E, 043D22, 04C180, 04CDFE, 04D34A, 04F966, 04FA18, 04FAA4, 0561FC, 05C2F6, 05C2FE, 05C34E, 05C35C, 05C6F4, 05C6FC, 05C7A8, 05C87C, 05CAF2, 05D0CE, 05D256, 05F36C, 05F59A, 05FB1A, 0600E4, 0600EC, 060152, 060160, 0601C6, 060262, 0608FE, 060906, 0609BA, 060A94, 060BA0, 0610FE, 061106, 06118E, 061196, 061340, 066288, 066290]	
21103D	123p+3D	[01B410, 01B47C, 01BB36, 0461E6, 0463AC, 05C744, 06094E]	
21103E	123p+3E	[00996E, 00B306, 02064C]	
21103F	123p+3F	[0077CC, 018B22, 018E16, 018E20, 018E7E, 018E86, 01A62A, 01BCC8, 01C35A, 01E5C4, 020114, 022B62]	
211040	123p+40	[00996E, 018E8A, 01DAE4, 01DE7A, 0200C6, 0407B0]	
211042	123p+42	[00996E, 018E8A, 01DAE4, 01DE7A, 0200C6, 0407B0]	
211044	123p+44	[00996E, 018E96, 01FD04]	
211045	123p+45	[018E32, 018E3C, 018E5C, 018E72, 01DAF2, 01E50E, 0200D2]	
211046	123p+46	[00996E, 018E96, 01E4D2]	
211048	123p+48	[00996E, 01ED5A, 01F560, 01F5BC, 01F5FC, 01F614, 02B5A8]	
211049	123p+49	[01F530, 01F540, 01F546, 01F556]	
21104A	123p+4A	[00996E, 00B5E2, 0219C4, 023754]	
21104B	123p+4B	[00AF1A, 00AF52, 00B608, 01D02E, 01D28C, 02B9C6, 02FDAA, 02FE0C]	
21104C	123p+4C	[00616E, 00996E, 00BB52, 018B52, 018F12, 01A244, 01A2DC, 01A7C2, 01AC1A, 01AE40, 01AF42, 01AFB6, 01AFEE, 01B13A, 01B5B0, 01B63C, 01B752, 01B7B2, 01B88C, 01B8AC, 01B8CE, 01B9DA, 01BA4E, 01BBDC, 01BD4A, 01C2B4, 01C4DA, 01CAD8, 01CF3E, 01D00A, 01D36A, 01D388, 01D3E0, 01D428, 01D45E, 01D50E, 01D60A, 01D8FE, 01D93E, 01DEAC, 01E5E4, 01E832, 01E856, 01ED64, 01EDFC, 01F03E, 01F1E0, 01F262, 01FF0A, 0203EE, 020464, 0204E8, 021944, 021960, 0219BA, 02365E, 02366E, 02369A, 0236B6, 02374E, 025A2A, 026118, 0275AC, 02893A, 028A7E, 02B608, 02B620, 02B62E, 02BB96, 02C504, 02C5D0, 02C812, 02E17A, 040162, 043C28, 043D44, 045C6C, 05335C, 053428]	
21104E	123p+4E	[00996E, 018E90, 01E4C2, 01E522, 01E576, 01E5A0, 01FD92]	
21104F	123p+4F	[0077D0, 018B22, 018F04, 018F0A, 018F24, 01910C, 01AA40, 01AA64, 01AA90, 01AD4E, 01AEBC, 01B0B2, 01B0EC, 01B136, 01B268, 01B6A0, 01B8CA, 01BB92, 01BBA0, 01BC78, 01BF30, 01C2D8, 01C308, 01C352, 01C4F0, 01C6FA, 01C7F2, 01CE5A, 01CEC4, 01CF26, 01D072, 01D08A, 01D146, 01D1AE, 01D24A, 01D35A, 01D504, 01D576, 01D59A, 01D7A2, 01D914, 01D954, 01DEC4, 01E542, 01E810, 01ED9C, 01EDDA, 01F18C, 01F19C, 02076E, 021E9C, 022766, 02289E, 02298A, 0236F6, 0259EC, 025A48, 02B6B8, 02B6C6, 02B73E, 02B814, 02B8C4, 031DD2]	
211050	123p+50	[00996E, 0190F0]	
211052	123p+52	[000C2C, 00996E, 0203F0, 021964, 023672, 0236BA]	
211054	123p+54	[00996E, 019104]	
211056	123p+56	[00996E, 019120]	
211058	123p+58	[00996E, 00B2FE]	
211059	123p+59	[018B58, 018BD8]	
21105A	123p+5A	[00996E, 01E892, 01FD08, 01FD1A, 02B742, 02C8F2, 044050, 044058, 066526, 06652E]	
21105C	123p+5C	[00996E]	
21105E	123p+5E	[00996E]	
211060	123p+60	[000C00, 00996E, 0203F6, 0219A6, 023682, 023712, 02CECA, 02CED4, 02CEDC]	
211062	123p+62	[000C04, 0021F8, 0022C8, 005A28, 00996E, 01AD02, 01AED8, 01B72E, 01BA0C, 01BAB6, 01BE96, 01BFEE, 01D346, 01D354, 01E5C0, 01F3A2, 01F3AA, 01F3B4, 01F3C4, 0203FC, 0219AC, 02367C, 023718, 02CEC6, 02CEE0, 053142]	
211064	123p+64	[00996E, 00B5B4, 01D374, 02CA00]	
211065	123p+65	[01BBE4]	
211066	123p+66	[00996E]	
211068	123p+68	[00996E]	
21106A	123p+6A	[00996E]	
21106C	123p+6C	[00996E, 00B11A, 01BF18, 01CF02, 01CFAA, 01D042, 01D2BE, 01DAE8, 01F312, 01FF54, 0219A0, 02370C, 028B06, 02B5D4, 02B98A, 02BE54, 043BFA, 043C06, 043C4C, 043EBE, 0446EC, 05C7AE, 05C7F0, 05C882, 05D0C8, 05D176, 05D4B0, 05D4FA, 05F270, 05F29E, 060A16, 060A9E, 06133A, 0615CA, 061614]	
21106E	123p+6E	[00996E, 00B11A, 01BF18, 01CF02, 01CFAA, 01D042, 01D2BE, 01DAE8, 01F312, 01FF54, 0219A0, 02370C, 028B06, 02B5D4, 02B98A, 02BE54, 043BFA, 043C06, 043C4C, 043EBE, 0446EC, 05C7AE, 05C7F0, 05C882, 05D0C8, 05D176, 05D4B0, 05D4FA, 05F270, 05F29E, 060A16, 060A9E, 06133A, 0615CA, 061614]	
