copyright	zengfr	site:http://github.com/zengfr/romhack
FF85A0	1p+38	[00A0E2, 00A2C6]	
FF85A2	1p+3A	[00A0E2, 00A2C6]	
FF85A4	1p+3C	[007596, 00A2C6]	
FF85A6	1p+3E	[0075CA, 0076DA, 00A2C6, 00A308]	
FF85A7	1p+3F	[0075A2, 0076C8, 00A30C]	
FF85A8	1p+40	[007516, 009CE4, 00A2C6, 00A310, 00A720, 00BACA, 00BE94, 00CF48, 00D962]	
FF85A9	1p+41	[00A314, 00BE9E, 00CD7E, 00CE7A, 00CF06]	
FF85AA	1p+42	[004114, 009CE8, 00A2C6, 00A318, 00A724, 00BAD0, 00BDF6, 00BEBC, 00CF4C, 00D966]	
FF85AB	1p+43	[00C712, 00C738, 00C780, 00CF44, 00DB50]	
FF85AC	1p+44	[00751A, 00A2C6, 00A31C, 00BE98]	
FF85AE	1p+46	[00A2C6]	
FF85B0	1p+48	[00A2C6]	
FF85B2	1p+4A	[009C8A, 00A2C6, 00A320, 00A6B6, 00A88C, 00B948, 00E938]	
FF85B4	1p+4C	[009C8E, 00A2C6, 00A324, 00B94C]	
FF85B6	1p+4E	[00A04E, 00A2C6]	
FF85B8	1p+50	[003090, 003138, 00A2C6, 00A328, 00A98E, 00AB9A, 00ABF8, 00AC08, 00AC26, 00AE3E, 00AE5C, 00AE86, 00AECA, 00AEE6, 00AF06, 00AF26, 00AF36, 00B0E6, 00B102, 00B12A, 00B16E, 00B18A, 00B1AA, 00B1CA, 00B1DA, 00B26E, 00B2B0, 00DFA4, 00E604, 00F3F6, 00F624, 00F634]	
FF85BA	1p+52	[00A2C6, 00A32C, 00A994, 00AB9E, 00ABFE, 00AC0C, 00AE4A, 00AE60, 00AE8A, 00AED6, 00AEEA, 00AF0A, 00AF2C, 00AF3A, 00B0F2, 00B106, 00B12E, 00B17A, 00B18E, 00B1AE, 00B1D0, 00B1DE, 00B272, 00B2B4, 00DFAA, 00E60A, 00F62A, 00F638, 00F648]	
FF85BC	1p+54	[00307C, 00A2C6, 00A330, 00A982, 00AB90, 00AE44, 00AE9E, 00AED0, 00B0EC, 00B174, 00B264, 00B2A6, 00E5EE, 00F3FC, 00F60E]	
FF85BE	1p+56	[00A2C6, 00A334, 00A988, 00AB96, 00AE50, 00AEDC, 00B0F8, 00B180, 00B26A, 00B2AC, 00E5F4, 00F614]	
FF85C0	1p+58	[007CA8, 007CEA, 007D36, 007D56, 007DB2, 007DF8, 007E3E, 007E70, 007EA4, 007F2E, 00A2C6, 00A338]	
FF85C1	1p+59	[007CF0, 007D52, 007DAE, 007E6C, 007EA0, 007F2A, 00A33C]	
FF85C2	1p+5A	[007C90, 00A2C6, 00A340, 00DF72]	
FF85C4	1p+5C	[00A0DA, 00A2B0, 00A2B8, 00A2C6]	
