copyright	zengfr	site:http://github.com/zengfr/romhack
FF8E76	12p+  E	[00AA7C, 00B668, 00DFB2, 010806, 010890, 010A56, 01252A, 01743C, 017A0E, 017A70, 017AC0, 017B44, 017B9E, 017C1A, 017C70, 017D38, 017D8C, 017E28, 017EDA, 017F24, 017F90, 018014, 01805A, 01808C, 018126, 01818C, 018200, 0182EC, 01834A, 0183A4, 0185A4, 018654, 0186BA, 0188B8, 018958, 018996, 0189D6, 0189E0, 018A32, 018E02, 018E40, 018E5E, 018EB2, 018ED0, 018F0E, 019208, 01922A, 019258, 019274, 019464, 019482, 01949A, 019506, 019546, 019564, 01959E, 0195DA, 019824, 0198AA, 019916, 019A9C, 019B80, 019C4E, 019CA0, 019D42, 019D62, 01A558, 01A59E, 01A5CA, 01A6B8, 01AAE8, 01AC1C, 01AC36, 01AC88, 01AD44, 01AD5A, 01AD64, 01AD6A, 01AD92, 01AF00, 01AF2A, 01AF8E, 01AFBA, 01AFF6, 01B002, 01B01C, 01B082, 01B0A2, 01B0B0, 01B142, 01B19E, 01B1D0, 01B20E, 01B28E, 01B2C8, 01B372, 01B3D2, 01B3FA, 01B44E, 01B482, 01B4D4, 01B58E, 01B5A4, 01B6AA, 01B6D4, 01B720, 01B778, 01B78C, 01B796, 01B7FA, 01B888, 01B8BE, 01B8F8, 01C724, 01CE82, 01CEA8, 01CF0A, 01CF88, 01D0D2, 01D162, 01D186, 01D210, 01D2E0, 01D310, 01D3A2, 01D452, 01D646, 01D6A0, 01D6EE, 01D714, 01D7F4, 01E136, 01E150, 01E6D2, 01E6FE, 01E71E, 01E748, 01E780, 01E7AC, 01E7CC, 01E84A, 01E96C, 01E9D4, 01EA2E, 01EAE6, 01EB66, 01EB9A, 01EC4C, 01EC7E, 01FE4C, 01FE9A, 020CE2, 020F66, 021F42, 021F54, 021F90, 02204C, 02206A, 0220A4, 0220F6, 022110, 022116, 022134, 022170, 0221E2, 0221FC, 022202, 022218, 02227A, 0222E6, 0222FC, 022372, 0223F2, 022408, 02249C, 0224A2, 0224BE, 02252A, 022530, 02254C, 0225B2, 0225CC, 0225D2, 0225E2, 022614, 02261A, 02262A, 022652, 02268C, 0226F0, 022716, 022734, 02278C, 0227FA, 022814, 02281A, 022830, 02285A, 022864, 02286E, 022898, 022D00, 02314E, 0236C2, 0237A2, 0237EE, 023AE8, 08FF2E, 090416, 090536, 090AA8, 090B9C, 0912B2, 091D4A, 091DB0, 092006, 0921B6, 0925CC]	
FF8E78	12p+ 10	[001178, 001190, 0011B6, 0179B6, 0179C4, 017F82, 01832A, 018404, 018686, 018A4A, 018F4A, 018F7A, 019A3A, 01AC30, 01B170, 01B192, 01B3A4, 01B3C6, 01CEFC, 01D380, 01EB0E, 01FE9A, 02111A, 022096, 02209C, 0220AA, 0220FC, 022102, 022162, 022168, 022176, 0221E8, 0221EE, 0225B8, 0225BE, 02272E, 022784, 022792, 022800, 022806, 022856, 023154, 023432, 023458, 0237A8, 024DE8]	
FF8E79	12p+ 11	[001186, 0178B6, 0178D8, 01796E, 0179A4, 0179D4, 017AB8, 017AE0, 017B8C, 017BBE, 017C5E, 017C90, 017DBE, 01833C, 018416, 018694, 0186A6, 018760, 0189CE, 018A2A, 018E56, 018E6C, 018F56, 019494, 0194E0, 01955C, 019576, 019612, 01A5C2, 01A67C, 01AC28, 01AC80, 01AD52, 01B0A8, 01B770, 01CD44, 01D17C, 01D206, 01D296, 01D2AC, 01D3BC, 01D45C, 01D6C6, 01D770, 01D7FA, 01E740, 01EA26, 02093A, 020D90, 020E8E, 021F70, 02285E, 0234DC, 02353A, 024CAE, 024CC2, 024CD6, 024CE8, 07A81A, 07A90A, 07BC52, 07C536, 07CE7A, 07CF42, 07DC72, 096A02]	
FF8E7A	12p+ 12	[00119C, 0011C8, 014FD8, 01FE9A, 07A6A8, 07A870, 07BC80, 07CED4, 07D7CA, 07DD32, 08580E, 085890]	
FF8E7C	12p+ 14	[00119C, 0011C8, 014FD8, 01FE9A, 07A6A8, 07A870, 07BC80, 07CED4, 07D7CA, 07DD32, 08580E, 085890]	
FF8E7E	12p+ 16	[001180, 001194, 0011C0, 01FE9A]	
FF8E80	12p+ 18	[001180, 001194, 0011C0, 01FE9A]	
FF8E82	12p+ 1A	[0011A4, 0011D0, 001B8E, 01740C, 017450, 017D2A, 01FE9A, 044D2C, 044D9E, 04A73C, 08FCA4, 090288, 0904C4, 090528, 090A9A, 091122, 091654, 091A9A]	
FF8E84	12p+ 1C	[0011A0, 0011CC, 017412, 01FE9A, 04A7D4, 0960F0, 096A76, 099998]	
FF8E86	12p+ 1E	[017668, 01766E, 018900, 01AF82, 01AF88, 01B094, 01B09A, 01B582, 01B588, 01CBC6, 01D438, 01D7E2, 01E6B6, 01E764, 01FE9A, 020F34, 08FF46, 0903FE, 090614, 09061A, 090620, 09070A, 090710, 090716, 0908E8, 0908F4, 090B84, 0910A4, 0910AA, 0910B0, 091290, 09136E, 091376, 091476, 09147E, 0918DE, 0918E6, 09195E, 091966, 091CE8, 09201E, 0921CE, 0925E4, 0927BC, 0927C2, 0927C8, 093016, 09301C, 093022, 09309E, 0930AA, 093DF0, 093DF8]	
FF8E87	12p+ 1F	[001C60, 001CA0, 01B0E6, 01B306, 01B4C4, 01B6D8, 01B7D8, 01C758, 01EA60, 02108C, 021128, 09053C, 090BA2, 0912A6, 091CFE, 09200C, 0921C2, 0925D2, 0960E6]	
FF8E88	12p+ 20	[000E08, 000E2C, 000F88, 001436, 00199C, 001B5C, 001BCA, 001BEE, 001C20, 001D48, 0027E6, 002890, 002904, 0039C4, 0039D8, 003A56, 003AC0, 003AFA, 004E82, 00A624, 00B6DE, 00C0AA, 00C0BA, 00C228, 00C238, 00C4C2, 00C4D2, 00C6AC, 00C6BC, 00C93E, 00C94E, 00D54C, 00D55C, 00E64E, 00E65E, 00E7A6, 00E7B6, 00E95E, 00E96E, 00EC92, 00ECA8, 00EDF6, 00EE06, 00F19C, 00F1AC, 015262, 015292, 015318, 01534C, 0153B4, 0156A6, 0156FE, 015766, 015A18, 015A4C, 015BDE, 015C2A, 017282, 0172F0, 017306, 017318, 018046, 01809C, 01819E, 018360, 018702, 019432, 019940, 019D14, 01A62C, 01AB26, 01AB70, 01AC50, 01AF7C, 01B0FC, 01B326, 01B57C, 01B7EE, 01CF74, 01CFC0, 01D1A4, 01D442, 01D44E, 01E44A, 01EA76, 01FE3C, 01FE9A, 0202D6, 0202F6, 020426, 0205E0, 020622, 020762, 020782, 02079A, 0207EC, 02106A, 0210B6, 0210DA, 022242, 02233A, 02266A, 022700, 022D8A, 022E5E, 0230FE, 023128, 023174, 0232A8, 023304, 0234F4, 023682, 02372C, 023864, 0238DA, 023914, 0239D6, 023B2A, 023B64, 023C32, 024F7A, 0250BE, 0254B0, 025B56, 026EAC, 026F44, 027004, 0277FE, 0278E0, 0278EA, 027908, 027916, 027928, 027A4E, 027AA0, 027AF6, 027BA6, 027BBC, 027BE6, 027C0A, 027C56, 027D36, 02B3F8, 02B41A, 02C5A0, 02C656, 02C690, 02DBE2, 02DE5E, 02E192, 02E1AA, 02E3B2, 02E496, 02F7A2, 02FCA6, 02FE0A, 030954, 030A5E, 030AA8, 030AD8, 030AE8, 030C66, 030DB4, 030DFE, 034C8C, 0350D4, 0354EC, 03576C, 035776, 0357A2, 035888, 0358DA, 03591A, 03593E, 0359C4, 035AA2, 035B1E, 039A14, 03A280, 03A436, 03A984, 03A9A4, 03AA18, 03AA30, 03AA90, 03AAD2, 03AB22, 03AB48, 03C752, 03C772, 03C7E6, 03C7FE, 03C85E, 03C8A0, 03C90E, 03C934, 03C9C4, 03D8F8, 03DE5E, 03E59E, 03E6EC, 03E6FE, 03E74E, 03E7C8, 03E8FA, 03EA16, 03EA74, 040856, 04099A, 04301C, 0439D0, 043F48, 0440D6, 04411C, 0441D0, 044262, 0442B8, 04464E, 044A60, 044C64, 044D48, 046724, 047660, 04775E, 0477B0, 047806, 047898, 0478AE, 0478FC, 047948, 0479DE, 04871C, 0488FE, 048CDA, 049CAE, 049E82, 04A95C, 04A9E0, 04AA94, 04AC46, 04B2AA, 04B416, 04B432, 04B466, 04B528, 04B540, 050CA0, 050CFE, 050E66, 050EC6, 050F0A, 050F2C, 050F80, 0529EE, 052A4E, 052B06, 052B4A, 052BB0, 052D0E, 052F36, 054500, 0545C2, 05462A, 05468C, 0546D4, 054732, 055D92, 055ED2, 057F22, 057F5C, 057F88, 057FCC, 05804A, 058094, 0594A8, 0595A2, 059608, 05961A, 059682, 05978C, 0597F0, 05B780, 05B7AC, 05C50C, 05C52A, 05D56E, 05DA4C, 05E052, 05E0AC, 05E0B6, 05E0D4, 05E0E2, 05E1BE, 05E2C2, 05E302, 05E326, 05E384, 05E464, 05E4D8, 05EC70, 05ED12, 05F61E, 05F64A, 05F65C, 05F7BC, 05F80E, 05F864, 05F910, 05F926, 05F974, 05F9C0, 05FA56, 062B9C, 062C52, 062CA6, 06585C, 065A7A, 065B4E, 065BB0, 065C14, 065CAC, 065D48, 065DCA, 07A6CC, 07A88E, 07BCB8, 07CEF2, 07D7EC, 07DD50, 0832DA, 083370, 083412, 0858A6, 08D2E4, 08D31C, 08D3A0, 08D3BA, 091294, 091724, 0917A2, 0919AC, 09567A, 0956CA, 09570C, 095742, 09577E, 095AA6, 095ABA, 095B1A, 095D5E, 095DAE, 095DBA, 095DE8, 095E78, 095ECA, 095EE0, 0960DC, 096AB0, 0982A0, 0999D2, 099D4C, 09B920, 09C776, 0A8674, 0A985A, 0A987C, 0ABD90, 0ABE10, 0ABE36, 0ABF4E, 0AC218, 0AC8BC, 0ACB7E, 0ACBEA, 0ACC20, 0ACF0A, 0AF5A4, 0B1490, 0B14A6, 0B14FA]	
FF8E8A	12p+ 22	[000E08, 001BEE, 001C20, 001C66, 001CA6, 018046, 01809C, 01819E, 019D14, 01CF74, 01CFC0, 01D1A8, 01FE9A, 02106A, 0210B6, 0210DA, 02266A, 022E5E, 0250BE, 046726, 08FFA4, 090490, 090C14, 0912FE, 091DB8, 095DBA, 095DE8, 095F3C]	
FF8E8C	12p+ 24	[000F8C, 001B2C, 001B96, 001B9A, 001C0A, 001C3E, 001D4E, 0027EA, 002908, 008096, 00B6BA, 00C0B0, 00C22E, 00C4C8, 00C6B2, 00C944, 00D552, 00E654, 00E7AC, 00E964, 00EC98, 00EDFC, 00F1A2, 01524E, 015304, 0153A8, 01564A, 01575A, 015B9A, 015BB4, 015BC2, 015BF8, 017792, 01791E, 01803A, 0180CE, 0180D2, 0180FA, 0181BE, 0181C2, 018706, 019438, 019930, 0199F4, 019A54, 019A5C, 019C90, 01A632, 01A654, 01A664, 01A676, 01A684, 01A698, 01A6A0, 01AB74, 01B05A, 01B100, 01B12C, 01B134, 01B17E, 01B1C0, 01B1C6, 01B1FE, 01B32A, 01B356, 01B35E, 01B3B2, 01B3EE, 01B3F6, 01B70E, 01B7F2, 01B86C, 01B874, 01B8B2, 01B8BA, 01B8E0, 01CD3A, 01CE12, 01CF68, 01CFF2, 01CFFA, 01D018, 01D1AC, 01E454, 01E9C8, 01EA7A, 01EAAC, 01EAB4, 01EB22, 01EB2A, 01EB88, 01FE2E, 01FE9A, 02042A, 0205E4, 020626, 02065A, 020F42, 021086, 0220DA, 0220E0, 0221C4, 0221CC, 022328, 0224F2, 022594, 02259C, 0226E4, 0226EC, 0227DC, 0227E4, 022EB8, 0234F8, 023BFC, 0250D2, 0253D2, 02544E, 0254B6, 025B5A, 026EA0, 026F36, 02DFD2, 034C86, 0357DA, 035B5C, 044A52, 044D38, 044DA6, 04672A, 05D566, 05EC64, 05ED04, 07A6D0, 07A892, 07BCBC, 07CEF6, 07D7F0, 07DD54, 0858AA, 08FF4A, 090432, 0904E2, 090A7A, 090B10, 090BB6, 0912C8, 091748, 0917B6, 0919C0, 091D10, 092184, 095ACA, 095AD0, 095B20, 095D30, 095EFC, 095F06, 096ABA, 0999DC, 099D50, 09B90A, 09C77C, 0AC15C, 0ACACC]	
FF8E8E	12p+ 26	[001C0A, 001C3E, 001C6C, 001CAC, 01803A, 0180CE, 0181BE, 01CF68, 01CFF2, 01D1B4, 01FE9A, 021086, 0250D2, 04672C, 046732, 08FFA8, 090494, 090C18, 091302, 091DBC, 095F40]	
FF8E90	12p+ 28	[000E12, 000E30, 000F90, 001450, 001548, 001AEC, 001B3C, 001BAA, 001BAE, 001D54, 0027F6, 002894, 002914, 0039AC, 003A48, 003AE0, 003B1E, 00A62A, 00B6E6, 00C0B6, 00C0C0, 00C234, 00C23E, 00C4CE, 00C4D8, 00C6B8, 00C6C2, 00C94A, 00C954, 00D558, 00D562, 00E65A, 00E664, 00E7B2, 00E7BC, 00E96A, 00E974, 00EC9E, 00ECAE, 00EE02, 00EE0C, 00F1A8, 00F1B2, 014DAA, 014DB0, 014DC6, 01524A, 015300, 0153A4, 015646, 015756, 0159D2, 015BE4, 015C2E, 017288, 0172F4, 01730C, 01731E, 018052, 0180A8, 0181AA, 018712, 01943E, 019D28, 01A638, 01A668, 01AB78, 01CF80, 01CFCC, 01D1B8, 01E3F2, 01FE42, 01FE9A, 0202DC, 0202FC, 02042E, 0205DA, 02061C, 0207A0, 0207B8, 0207C8, 0207D4, 0207F2, 022074, 0220B4, 0220CC, 02213E, 022180, 022198, 022250, 022348, 0224CC, 02255A, 0226AA, 02279C, 0227B4, 022D6E, 022E7C, 022EB2, 022FE8, 02310A, 02317A, 023310, 0234FC, 023688, 0237D0, 0238E6, 023920, 023ACA, 023C02, 023C06, 023C3E, 023C92, 0250EC, 0253DE, 025456, 0254BC, 025B5E, 027038, 027144, 027820, 02793E, 027AFA, 027BAA, 027BC0, 027BFA, 027C6C, 027D48, 02B41E, 02C6A4, 030A66, 030ABC, 030B00, 030DBC, 030E06, 03573A, 0358DE, 03592E, 0359DC, 035AB4, 035B34, 03A990, 03AA04, 03AA3C, 03AADE, 03C75E, 03C78E, 03C7D2, 03C80A, 03C8AC, 03C9CC, 03D910, 03DE6A, 03E6F0, 03E706, 03E766, 03EA1E, 043024, 0439D8, 044124, 0441D4, 04427A, 0442BC, 044662, 044B32, 044C36, 046736, 047676, 0476D0, 04780A, 04789C, 0478B2, 04795E, 0479FA, 048CEE, 04B2C2, 04B41E, 04B43A, 04B548, 050D02, 050E70, 050ECA, 050F42, 050F94, 052A56, 052B1E, 052B4E, 052BB4, 052F4A, 0531DE, 0545C6, 0546A4, 0546D8, 05473C, 057F2A, 057F70, 058052, 05809C, 0594AC, 0595A6, 059646, 059798, 0597C4, 0597F4, 05B696, 05B764, 05BC1A, 05C510, 05E03E, 05E2C6, 05E316, 05E39C, 05E476, 05E4EE, 05EDC8, 05EEE0, 05F734, 05F868, 05F914, 05F92A, 05F9D6, 05FA68, 062CBA, 065B06, 065BB4, 065CC2, 065D5C, 079CA2, 079CAA, 07A082, 07A08A, 07A6AC, 07A874, 07A8EE, 07BC84, 07CED8, 07CF50, 07D7CE, 07DD36, 0832EE, 08335A, 08341E, 0858AE, 08D2C2, 08D356, 08D3A4, 08D3B6, 0916FC, 091782, 09198C, 095656, 095690, 095758, 095A4C, 095A50, 095A7E, 095AE8, 095D44, 095DF2, 095DFE, 095E0C, 095E98, 095F26, 095F2A, 095F32, 096A54, 099976, 099D54, 09B918, 09C782, 0ABD94, 0ABE80, 0ACF0E, 0AF462, 0AF5A8, 0B0F44, 0B14AE]	
FF8E92	12p+ 2A	[000E12, 001C72, 001CB2, 018052, 0180A8, 0181AA, 019D28, 01CF80, 01CFCC, 01D1BE, 01FE9A, 022E7C, 0250EC, 046738, 04673C, 08FFAC, 090498, 090C1C, 091306, 091DC0, 095DFE, 095E0C, 095F4A]	
FF8E94	12p+ 2C	[000DFC, 0173BE, 017E30, 017F0C, 018108, 0188E4, 0198C6, 019A98, 019B1A, 019B92, 019C30, 019D70, 01A58C, 01A6AE, 01AD9E, 01CC74, 01D65C, 01E488, 01E6DE, 01E78C, 01FE9A, 0208EA, 02263A, 022D4E, 022E0C, 022F24, 022FA4, 023168, 0232CC, 023624, 02367A, 023702, 02383A, 0238CC, 023910, 02398A, 023A46, 023B5E, 023C84, 024C64]	
FF8E96	12p+ 2E	[000DFC, 0173BE, 017E30, 017F0C, 018108, 0188E4, 0198C6, 019A98, 019B1A, 019B92, 019C30, 019D70, 01A58C, 01A6AE, 01AD9E, 01CC74, 01D65C, 01E488, 01E6DE, 01E78C, 01FE9A, 0208EA, 02263A, 022D4E, 022E0C, 022F24, 022FA4, 023168, 0232CC, 023624, 02367A, 023702, 02383A, 0238CC, 023910, 02398A, 023A46, 023B5E, 023C84, 024C64]	
FF8E98	12p+ 30	[001BA2, 0173B6, 01FE9A, 024C5C, 024D28, 0916EE, 09180E, 095A64, 095A72, 095AE2]	
FF8E9A	12p+ 32	[001BA2, 0173B6, 01FE9A, 024C5C, 024D28, 0916EE, 09180E, 095A64, 095A72, 095AE2]	
FF8E9C	12p+ 34	[017D92, 018300, 018660, 0186C6, 019CAC, 01B110, 01B334, 01B810, 01D322, 01D726, 01FE9A, 020C06, 020C1A]	
FF8E9E	12p+ 36	[001906, 003786, 003792, 00392C, 003978, 013472, 0134E8, 0134F8, 0142A8, 0142B0, 0142B6, 0142C2, 0173FA, 01891E, 0189A0, 0189AE, 0189B8, 01ADA8, 01ADC6, 01E3B0, 01FE9A, 020654, 02068C, 02080C, 02DFBC, 0466EA, 075442, 079FE0, 079FFC, 0833EC, 083400, 08FF1C, 09042E, 090BB2, 0912C4, 091D0C, 091FF0, 0921A0, 0925B6, 0AE7F8, 0AE804]	
FF8EA0	12p+ 38	[017400, 0189BA, 01ADB6, 01E3B4, 01FE9A, 02080E, 07A000, 083386, 0833FC]	
FF8EA2	12p+ 3A	[00190A, 0173F4, 01FE9A, 079FE4, 079FF0, 079FF8, 08338A, 0833F2, 0AEB2A]	
FF8EA4	12p+ 3C	[0011A8, 0011D4, 01FE9A, 0905B6, 0906A6, 090884, 090A86, 090B20, 091050, 091350, 091452, 09189E, 091918, 092762, 09607E]	
FF8EA6	12p+ 3E	[0011AC, 0011D8, 001BA6, 018988, 0189C8, 018A26, 01FE9A, 0903DA, 0904F2, 0907A8, 090B60, 090D28, 091260, 09156C, 091812, 091CCA, 091DF4, 091FC4, 092108, 09217C, 092280, 09258A, 0926EE, 096084, 0960B6]	
FF8EA8	12p+ 40	[001BE6, 001C10, 001C18, 017F4E, 017FC6, 01803E, 018094, 018196, 0183BA, 019CC8, 019D04, 019D0C, 01AF1C, 01B0F8, 01B152, 01B1E2, 01B322, 01B38C, 01B4B4, 01B6EA, 01B7EA, 01B89E, 01B8D0, 01CEC6, 01CF6C, 01CFB8, 01EA72, 01EAF6, 01EB6C, 01FE9A, 020C26, 020C84, 020D68, 020D74, 020F76, 021062, 021098, 0210A4, 0210BC, 0210C8, 022662, 022CDC, 022D9C, 022EE4, 023112, 023650, 023696, 023734, 02376C, 0237D8, 023A82, 023AD2, 023C14, 024DD0, 091082]	
FF8EAA	12p+ 42	[001C14, 0183BE, 019CD8, 019D08, 01AF22, 01B156, 01B1E8, 01B390, 01B4BA, 01B6F0, 01B8D6, 01EAFA, 01EB72, 01FE9A, 02109C, 0210C0]	
FF8EAC	12p+ 44	[001BF2, 001C02, 001C26, 001C36, 017FD0, 018060, 0181B2, 0181B6, 01991C, 019CCC, 019D18, 019D20, 01A5A4, 01A65E, 01B0C8, 01B19A, 01B2F4, 01B3CE, 01B7C6, 01B88E, 01CF2C, 01CF8E, 01EA42, 01FE9A, 020CDC, 020F82, 02106E, 02107E, 0221A2, 0227BE, 022CE4, 022DA2, 022EEA, 023118, 02369C, 02373A, 023772, 0237DE, 023A88, 023AD8, 023C1A, 024DD6]	
FF8EAE	12p+ 46	[001BF6, 001C2A, 019922, 019CDC, 019D1C, 01A5AA, 01B0CE, 01B2FA, 01B7CC, 01EA48, 01FE9A, 021072, 022CEA, 022DA8, 022EF0, 02311E, 0236A8, 023740, 023778, 0237E4, 023A8E, 023ADE, 023C20, 024DDC]	
FF8EB0	12p+ 48	[00B6E2, 00C0BC, 00C23A, 00C4D4, 00C6BE, 00C950, 00D55E, 00E660, 00E7B8, 00E970, 00ECAA, 00EE08, 00F1AE, 017284, 01FE9A, 020798, 0207EA, 0A85B4, 0A8ACC, 0A8B86, 0A8BB0, 0A8BE4, 0A8BE8, 0A8C38, 0A8C54, 0A8C7E, 0A8CC8, 0A8CE4, 0A8D0E]	
