copyright	zengfr	site:http://github.com/zengfr/romhack
FF804F	base+ 4F	[0, 1, 12, 14, 15, 18, 1C, 20, A, D, F]	
FF8050	base+ 50	[0, 15, 1500, 240, D, D00]	
FF8051	base+ 51	[0]	
FF8052	base+ 52	[0, 46, 70]	
FF8053	base+ 53	[0, 70]	
FF8054	base+ 54	[0]	
FF8056	base+ 56	[0]	
FF8058	base+ 58	[0]	
FF805A	base+ 5A	[0, 38, 39, 3A, 3B, 3E, 4B, 66, 6E, 71, 72, 79, 89, A8, C1, C6, DE, E3, F7, F8, FF, FF00]	
FF805B	base+ 5B	[0]	
FF805C	base+ 5C	[0, 3, 4, 5, 7]	
FF805D	base+ 5D	[0]	
FF805E	base+ 5E	[0, 1, 11, 1218, 13, 1B, 1C, 1D, 1F, 20, 2001, 200A, 200B, 200D, 200F, 2012, 2015, 2018, 201D, 7, 9, A, D, E, F]	
FF805F	base+ 5F	[1, 15, 18, 1D, 1F, 20, 7, A, D, F]	
FF8060	base+ 60	[0, 15, 1500, 156, 2, 240, D00]	
FF8061	base+ 61	[0, 40]	
FF8062	base+ 62	[0, 1080, 70, A]	
FF8063	base+ 63	[0, 70]	
FF8064	base+ 64	[0]	
FF8066	base+ 66	[0]	
FF8068	base+ 68	[0]	
FF806A	base+ 6A	[0, 20, 38, 39, 3B, 3E, 46, 71, 72, 79, 89, A8, E7, F5, F7, F8, FD, FF, FF00]	
FF806B	base+ 6B	[0]	
FF806C	base+ 6C	[0, 3, 4, 7]	
FF806D	base+ 6D	[0]	
FF806E	base+ 6E	[0, 10, 11, 13, 15, 18, 19, 1B, 1C, 1D, 2, 20, 2006, 200A, 200F, 2011, 2014, 2018, 201C, 8, 9, A, B, C, D, F]	
FF806F	base+ 6F	[0, 11, 14, 15, 18, 19, 1C, 1D, 20, A, B, C, D]	
FF8070	base+ 70	[0, 15, 1500, 240, D00]	
FF8071	base+ 71	[0]	
FF8072	base+ 72	[0, 60, 70]	
FF8073	base+ 73	[0, 70]	
FF8074	base+ 74	[0]	
FF8076	base+ 76	[0]	
FF8078	base+ 78	[0]	
