copyright	zengfr	site:http://github.com/zengfr/romhack
FF803A	base+ 3A	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF803B	base+ 3B	[0006A6]	
FF803C	base+ 3C	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF803D	base+ 3D	[0006B2]	
FF803E	base+ 3E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF803F	base+ 3F	[000678]	
FF8040	base+ 40	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8041	base+ 41	[000684]	
FF8042	base+ 42	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8043	base+ 43	[000690]	
FF8044	base+ 44	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8046	base+ 46	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8048	base+ 48	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF804A	base+ 4A	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF804B	base+ 4B	[0006A6]	
FF804C	base+ 4C	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF804D	base+ 4D	[0006B2]	
FF804E	base+ 4E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF804F	base+ 4F	[000678]	
FF8050	base+ 50	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8051	base+ 51	[000684]	
FF8052	base+ 52	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8053	base+ 53	[000690]	
FF8054	base+ 54	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8056	base+ 56	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8058	base+ 58	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF805A	base+ 5A	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF805B	base+ 5B	[0006A6]	
FF805C	base+ 5C	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF805D	base+ 5D	[0006B2]	
FF805E	base+ 5E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF805F	base+ 5F	[000678]	
FF8060	base+ 60	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8061	base+ 61	[000684]	
FF8062	base+ 62	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8063	base+ 63	[000690]	
FF8064	base+ 64	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8066	base+ 66	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8068	base+ 68	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF806A	base+ 6A	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF806B	base+ 6B	[0006A6]	
FF806C	base+ 6C	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF806D	base+ 6D	[0006B2]	
FF806E	base+ 6E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF806F	base+ 6F	[000678]	
FF8070	base+ 70	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8071	base+ 71	[000684]	
FF8072	base+ 72	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8073	base+ 73	[000690]	
FF8074	base+ 74	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
